Id	Pos	Neg	Sentiment
00001740	0.125	0	able
00002098	0	0.75	unable
00002312	0	0	dorsal
00002527	0	0	ventral
00002730	0	0	acroscopic
00002843	0	0	basiscopic
00002956	0	0	abducting
00003131	0	0	adductive
00003356	0	0	nascent
00003553	0	0	emerging
00003700	0.25	0	dissilient
00003829	0.25	0	parturient
00003939	0	0	dying
00004171	0	0	moribund
00004296	0	0	last
00004413	0	0	abridged
00004615	0	0	shortened
00004723	0	0	half-length
00004817	0	0	potted
00004980	0	0	unabridged
00005107	0.5	0	uncut
00005205	0.5	0	absolute
00005473	0.75	0	direct
00005599	0.5	0.5	unquestioning
00005718	0.125	0	infinite
00005839	0.5	0.125	living
00006032	0.25	0.5	relative
00006245	0	0	relational
00006336	0	0	absorptive
00006777	0.375	0	sorbefacient
00006885	0	0.75	assimilatory
00007096	0	0	hygroscopic
00007208	0	0.125	receptive
00007331	0	0	shock-absorbent
00007516	0	0	spongy
00007697	0	0	thirsty
00007813	0	0.5	nonabsorptive
00007990	0	0.5	resistant
00008206	0	0	surface-assimilative
00008443	0	0.25	chemosorptive
00008595	0	0.25	nonadsorptive
00008734	0.5	0	absorbable
00008877	0.25	0	adsorbate
00009046	0	0	abstemious
00009346	0	0.625	abstinent
00009618	0.5	0.25	spartan
00009978	0	0	gluttonous
00010385	0	0	crapulous
00010537	0	0.5	crapulous
00010726	0	0	wolfish
00011160	0	0	greedy
00011327	0	0.125	swinish
00011665	0.125	0.375	too-greedy
00011757	0	0	abstract
00012071	0.375	0	notional
00012362	0.375	0.25	conceptual
00012689	0	0	ideal
00012932	0.125	0.125	ideological
00013160	0.625	0.25	concrete
00013442	0	0	objective
00013662	0	0	tangible
00013887	0	0.25	abundant
00014358	0	0.25	galore
00014490	0.125	0	rich
00014858	0	0	voluminous
00015097	0.25	0.625	easy
00015247	0	0.25	riotous
00015480	0	0.5	thick
00015589	0.125	0.375	long
00015720	0.125	0.5	rife
00015854	0	0.25	plentiful
00016005	0	0	rampant
00016135	0	0.25	rank
00016247	0.125	0.5	superabundant
00016350	0	0	teeming
00016532	0	0.375	torrential
00016647	0.125	0.5	verdant
00016756	0	0.25	scarce
00017024	0	0.875	rare
00017186	0	0.625	tight
00017352	0	0.625	mistreated
00017509	0	0.75	battered
00017688	0.375	0.25	unabused
00017782	0.625	0	acceptable
00018069	0.25	0	bankable
00018222	0.25	0.625	unimpeachable
00018435	0	0.5	unobjectionable
00018584	0.125	0.375	unacceptable
00018850	0	0.375	objectionable
00019131	0.625	0	accessible
00019349	0.375	0	reachable
00019505	0.625	0	getatable
00019731	0.125	0.125	ready_to_hand
00019874	0.5	0.125	unaccessible
00020103	0.125	0	remote
00020241	0.125	0.25	untrodden
00020410	0	0	unreached
00020647	0	0.625	ungetatable
00020787	0.5	0	accommodative
00021110	0.75	0	obliging
00021403	0.25	0.25	unobliging
00021592	0.125	0.25	uncooperative
00021766	0.5	0	accurate
00022219	0.625	0	faithful
00022437	0.625	0.25	dead-on
00022680	0.5	0.125	high-fidelity
00022852	0.5	0	surgical
00022962	0	0	straight
00023120	0.125	0	true
00023278	0.875	0	veracious
00023383	0.125	0.625	inaccurate
00023655	0	0	outside
00023854	0.125	0.75	wrong
00024139	0	0.5	unfaithful
00024241	0	0.625	wide_of_the_mark
00024417	0.125	0	accustomed
00024619	0	0.375	wont_to
00024834	0	0.75	unaccustomed
00024996	0	0.125	new
00025138	0	0.125	unused
